Category,Link
kidnapping,https://nigeriacrime.com/cross-river-doctors-embark-on-strike-to-protest-colleagues-abduction/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/police-rescue-5-abducted-victims-in-kwara-state/
kidnapping,https://nigeriacrime.com/kidnapped-woman-rescued-by-so-safe-operatives/
kidnapping,https://nigeriacrime.com/two-kidnap-victims-rescued-in-kwara/
kidnapping,https://nigeriacrime.com/seven-arrested-as-police-raid-kidnappers-hideouts-in-bauchi/
kidnapping,https://nigeriacrime.com/kidnapping-swiss-man-in-nigeria-4-kidnappers-arrested/
kidnapping,https://nigeriacrime.com/kano-police-arrest-four-suspected-kidnappers/
kidnapping,https://nigeriacrime.com/unknown-gunmen-abduct-apc-chairman-in-ekiti/
kidnapping,https://nigeriacrime.com/ondo-police-arrest-father-daughter-for-abducting-cleric/
kidnapping,https://nigeriacrime.com/police-bust-kidnapper-hideout-in-delta-recover-arms-ammunition/
kidnapping,https://nigeriacrime.com/abducted-60-year-old-woman-killed-in-delta-after-kidnappers-collected-n1m/
kidnapping,https://nigeriacrime.com/kogi-three-suspected-kidnappers-arrested/
kidnapping,https://nigeriacrime.com/abducted-secondary-school-student-regains-freedom/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/2-kidnappers-arrested-four-victims-abducted-as-police-recover-ak-47-rifles-in-katsina/
kidnapping,https://nigeriacrime.com/brides-kidnap-gunmen-demand-n50-million-ransom/
kidnapping,https://nigeriacrime.com/kidnapped-benue-catholic-priest-regains-freedom/
kidnapping,https://nigeriacrime.com/42-year-old-bank-operations-manager-kidnapped-in-bayelsa-state/
kidnapping,https://nigeriacrime.com/gunmen-abduct-kogi-monarch-wife/
kidnapping,https://nigeriacrime.com/67-year-old-kidnap-regains-freedom-after-kidnappers-collected-n2-m-ransom/
kidnapping,https://nigeriacrime.com/ogun-okada-rider-arrested-for-abducting-passenger/
kidnapping,https://nigeriacrime.com/ondo-islamic-cleric-kidnapped-at-gunpoint/
kidnapping,https://nigeriacrime.com/catholic-priest-kidnapped-in-benue/
kidnapping,https://nigeriacrime.com/kano-teenager-fakes-own-kidnap-for-ransom/
kidnapping,https://nigeriacrime.com/armed-herders-kidnapper-policeman-2-others-in-benue/
kidnapping,https://nigeriacrime.com/mother-of-four-kidnapped-by-suspected-gunmen-in-kubwa-abuja/
kidnapping,https://nigeriacrime.com/police-crack-kidnapping-ring-rescue-victims-arrest-three-suspects-in-lagos/
kidnapping,https://nigeriacrime.com/seven-unijos-students-abducted/
kidnapping,https://nigeriacrime.com/kidnappers-free-kaduna-catholic-priest/
kidnapping,https://nigeriacrime.com/suspected-kidnapper-killed-as-police-rescue-victim/
